大區,樹種,DBA
永久01,江某,6.25
永久01,墨點櫻桃,81.45
永久01,荔枝,101.13
永久01,茜草樹,12.25
永久01,香楠,991.81
永久01,紅楠,1608.48
永久01,山紅柿,15.86
永久01,杜英,32.49
永久01,墨點櫻桃,39.77
永久01,細葉饅頭果,124.37
永久01,相思樹,1849
永久01,荔枝,70.92
永久01,江某,2.65
永久01,相思樹,1549
永久01,山紅柿,62.41
永久01,頷垂豆,542.46
永久01,荔枝,1042.76
永久01,江某,1.96
永久01,白匏仔,870.25
永久02,杜英,1.96
永久02,墨點櫻桃,46.45
永久02,香楠,1.96
永久02,裏白饅頭果,60.84
永久02,江某,912.04
永久02,墨點櫻桃,238.49
永久02,細葉饅頭果,655.36
永久02,杜英,12.25
永久02,九節木,3.61
永久02,山紅柿,332.94
永久02,墨點櫻桃,235.28
永久02,大葉木犀,6.25
永久02,燈稱花,1.69
永久02,九節木,1.96
永久02,墨點櫻桃,170.73
永久03,墨點櫻桃,59.89
永久03,頷垂豆,5.29
永久03,紅皮,729
永久03,墨點櫻桃,309.76
永久03,香楠,3592.57
永久03,柏拉木,7.68
永久03,墨點櫻桃,374.53
永久03,山龍眼,125.44
永久03,水金京,116.64
永久03,三斗石櫟,21.16
永久03,墨點櫻桃,112.25
永久03,燈稱花,8.94
永久03,山紅柿,48.04
永久03,江某,49
永久03,細葉饅頭果,420.25
永久03,山龍眼,9
1,墨點櫻桃,2.44
1,山紅柿,49.13
1,墨點櫻桃,27.08
1,降真香,295.84
1,九節木,8.84
1,千年桐,151.29
1,山紅柿,18.49
1,山紅柿,136.49
1,九節木,9.54
1,墨點櫻桃,2.89
1,小西氏石櫟,985.18
1,川上氏櫧,1831.5
1,江某,39.69
2,小西氏石櫟,133.19
2,墨點櫻桃,2.89
2,狗骨仔,3.24
2,山紅柿,60.18
2,茜草樹,11.56
2,墨點櫻桃,219.94
2,小西氏石櫟,100.87
2,頷垂豆,1.21
2,山紅柿,4
2,茜草樹,166.94
2,香楠,388.09
2,小西氏石櫟,115.22
2,墨點櫻桃,71.65
2,山紅柿,49
2,燈稱花,2.25
2,狗骨仔,1.96
2,烏皮九芎,10.89
2,香楠,1139.09
2,茜草樹,16.81
2,小西氏石櫟,1461.01
2,墨點櫻桃,91.93
2,頷垂豆,1
2,山紅柿,11.56
3,千年桐,197.21
3,裏白饅頭果,3.61
3,中國柃木,1.21
3,墨點櫻桃,8.78
3,江某,3.61
3,小西氏石櫟,570.07
3,山紅柿,52.35
3,香楠,912.04
3,薯豆,1.69
3,九節木,4.84
3,白匏仔,37.21
3,墨點櫻桃,4.32
3,薯豆,2.42
3,江某,2.89
4,九節木,2.89
4,墨點櫻桃,181.89
4,山紅柿,44.34
4,江某,1.69
4,大葉木犀,5.29
4,三斗石櫟,524.48
4,山紅柿,765.01
4,山紅柿,2353.99
4,三斗石櫟,409.41
4,九節木,27.11
4,紅葉樹,2.21
4,川上氏櫧,146.67
4,山羊耳,1
4,三斗石櫟,55.78
4,小西氏石櫟,9.37
4,江某,10.89
4,山紅柿,649.08
4,降真香,9.61
4,墨點櫻桃,14.44
5,桂竹,571
